state_abrv,state_name,2020_rate,2021_rate,rate_diff
AL,Alabama,3.2,6.5,3.3
AK,Alaska,5.5,8.2,2.7
AZ,Arizona,4.9,7.7,2.8
AR,Arkansas,3.5,6.1,2.6
CA,California,4.1,10.2,6.1
CO,Colorado,2.6,6.9,4.3
CT,Connecticut,3.5,7.8,4.3
DE,Delaware,3.7,7.6,3.9
DC,District of Columbia,5.4,8,2.6
FL,Florida,3.2,8.2,5
GA,Georgia,3.6,6.5,2.9
HI,Hawaii,2.5,12,9.5
ID,Idaho,3,5.5,2.5
IL,Illinois,4,9.2,5.2
IN,Indiana,3.3,7.2,3.9
IA,Iowa,2.6,5.1,2.5
KS,Kansas,3.1,5.7,2.6
KY,Kentucky,4.1,6.4,2.3
LA,Louisiana,4.6,8.7,4.1
ME,Maine,2.8,5,2.2
MD,Maryland,3.4,6.7,3.3
MA,Massachusetts,3.1,9.4,6.3
MI,Michigan,4.1,10,5.9
MN,Minnesota,3.4,6.3,2.9
MS,Mississippi,5.4,7.9,2.5
MO,Missouri,3.1,6.1,3
MT,Montana,3.6,5.8,2.2
NE,Nebraska,3,4.1,1.1
NV,Nevada,4,13.5,9.5
NH,New Hampshire,2.6,6.7,4.1
NJ,New Jersey,3.4,9.5,6.1
NM,New Mexico,4.9,8.1,3.2
NY,New York,3.8,9.9,6.1
NC,North Carolina,3.8,7.1,3.3
ND,North Dakota,2.1,5.1,3
OH,Ohio,4.2,8.2,4
OK,Oklahoma,3.1,6.2,3.1
OR,Oregon,3.7,7.6,3.9
PA,Pennsylvania,4.5,9.1,4.6
RI,Rhode Island,3.6,9.2,5.6
SC,South Carolina,2.8,6,3.2
SD,South Dakota,2.8,4.3,1.5
TN,Tennessee,3.4,7.4,4
TX,Texas,3.5,7.7,4.2
UT,Utah,2.6,4.7,2.1
VT,Vermont,2.3,5.6,3.3
VA,Virginia,2.8,6.2,3.4
WA,Washington,4.3,8.5,4.2
WV,West Virginia,4.9,8.2,3.3
WI,Wisconsin,3.2,6.3,3.1
WY,Wyoming,3.7,5.8,2.1
